image	label	prompt	category	subcategory
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/marius_borgeaud/cathedral_cover.webp	Marius Borgeaud	marius borgeaud	Artist	Portraiture
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/ferdinand_hodler/cathedral_cover.webp	Ferdinand Hodler	ferdinand hodler	Artist	Symbolism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/petros_afshar/cathedral_cover.webp	Petros Afshar	petros afshar	Artist	ContemporaryArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/ivan_aivazovsky/cathedral_cover.webp	Ivan Aivazovsky	ivan aivazovsky	Artist	MarineArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/esao_andrews/cathedral_cover.webp	Esao Andrews	esao andrews	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/sherry_akrami/cathedral_cover.webp	Sherry Akrami	sherry akrami	Artist	ContemporaryArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/roy_lichtenstein/cathedral_cover.webp	Roy Lichtenstein	roy lichtenstein	Artist	PopArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/matt_bors/cathedral_cover.webp	Matt Bors	matt bors	Artist	Propaganda
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/anne_redpath/cathedral_cover.webp	Anne Redpath	anne redpath	Artist	DecorativeArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/david_michael_bowers/cathedral_cover.webp	David Michael Bowers	david michael bowers	Artist	FantasyRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/hokusai/cathedral_cover.webp	Hokusai	hokusai	Artist	Ukiyo-e
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/greg_simkins/cathedral_cover.webp	Greg Simkins	greg simkins	Artist	Graffiti
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/neil_blevins/cathedral_cover.webp	Neil Blevins	neil blevins	Artist	Cyberpunk
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/frank_bowling/cathedral_cover.webp	Frank Bowling	frank bowling	Artist	AbstractExpressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/faith_ringgold/cathedral_cover.webp	Faith Ringgold	faith ringgold	Artist	Illustration
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alessandro_allori/cathedral_cover.webp	Alessandro Allori	alessandro allori	Artist	Mannerism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/anna_ancher/cathedral_cover.webp	Anna Ancher	anna ancher	Artist	Realism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/romero_britto/cathedral_cover.webp	Romero Britto	romero britto	Artist	PopSurrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/richard_anderson/cathedral_cover.webp	Richard Anderson	richard anderson	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/ambrosius_holbein/cathedral_cover.webp	Ambrosius Holbein	ambrosius holbein	Artist	LateGothic
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/chiho_aoshima/cathedral_cover.webp	Chiho Aoshima	chiho aoshima	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/gaston_bussiere/cathedral_cover.webp	Gaston Bussiere	gaston bussiere	Artist	Fauvism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/frank_hong/cathedral_cover.webp	Frank Hong	frank hong	Artist	MixedMedia
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alex_ross/cathedral_cover.webp	Alex Ross	alex ross	Artist	Photorealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/abram_arkhipov/cathedral_cover.webp	Abram Arkhipov	abram arkhipov	Artist	SocialRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alois_arnegger/cathedral_cover.webp	Alois Arnegger	alois arnegger	Artist	Expressionism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/paul_cadmus/cathedral_cover.webp	Paul Cadmus	paul cadmus	Artist	HyperRealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/didier_cassegrain/cathedral_cover.webp	Didier Cassegrain	didier cassegrain	Artist	MixedMedia
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/pieter_de_hooch/cathedral_cover.webp	Pieter de Hooch	pieter de hooch	Artist	DutchGoldenAge
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/henri_rousseau/cathedral_cover.webp	Henri Rousseau	henri rousseau	Artist	Primitivism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/eugene_atget/cathedral_cover.webp	Eugène Atget	eugène atget	Artist	Documentary
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/alfred_j_casson/cathedral_cover.webp	Alfred J. Casson	alfred j. casson	Artist	ImpressionistWatercolors
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/edward_hopper/cathedral_cover.webp	Edward Hopper	edward hopper	Artist	UrbanArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/peter_paul_rubens/cathedral_cover.webp	Peter Paul Rubens	peter paul rubens	Artist	BaroqueArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/emily_balivet/cathedral_cover.webp	Emily Balivet	emily balivet	Artist	Surrealism
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/wayne_barlowe/cathedral_cover.webp	Wayne Barlowe	wayne barlowe	Artist	FantasyArt
https://storage.googleapis.com/rzem-ai-server-images-reference/ref/images/artists/clint_cearley/cathedral_cover.webp	Clint Cearley	clint cearley	Artist	RococoArt
