original_subcategory,new_subcategory
AbstractArt,Abstract
AbstractExpressionism,Abstract
AcademicRealism,Realism
ActionPainting,Abstract
Afrofuturism,Fantasy & Sci-Fi
American Comic Book Art,Illustration
AmericanRealism,Realism
AnimeStyle,Illustration
ArtDeco,Illustration
ArtNouveau,Illustration
BaroqueArt,Classical
BiomechanicalArt,Fantasy & Sci-Fi
BotanicalIllustration,Illustration
BritishRealism,Realism
CanadianLandscape,Classical
CartoonStyle,Illustration
Children's Book Illustration,Illustration
ChildrensBookArt,Illustration
ClassicalRealism,Realism
ColorFieldPainting,Abstract
ComicBookStyle,Illustration
ConceptArt,Digital & Contemporary
Contemporary Comic Book Art,Digital & Contemporary
Contemporary Figurative Painting,Digital & Contemporary
Contemporary Graphic Art,Digital & Contemporary
ContemporaryArt,Digital & Contemporary
Cubism,Expressionism
CyberneticArt,Fantasy & Sci-Fi
Cyberpunk,Fantasy & Sci-Fi
Dadaism,Expressionism
DarkFantasy,Fantasy & Sci-Fi
DarkRomanticism,Fantasy & Sci-Fi
DecorativeArt,Illustration
Digital Fantasy Art,Fantasy & Sci-Fi
DigitalArt,Digital & Contemporary
DigitalPainting,Digital & Contemporary
Documentary,Realism
DutchGoldenAge,Classical
Expressionism,Expressionism
FairyTaleArt,Fantasy & Sci-Fi
FantasyArt,Fantasy & Sci-Fi
FantasyRealism,Fantasy & Sci-Fi
Fauvism,Impressionism
FigurativeArt,Expressionism
Figure Drawing / Academic Art,Expressionism
FilmNoir,Fantasy & Sci-Fi
FineArtPhotography,Realism
FolkArt,Illustration
Futurism,Fantasy & Sci-Fi
GeometricAbstraction,Abstract
GothicArt,Classical
Graffiti,Pop & Urban
GraphicNarrative,Illustration
GraphicNovelRealism,Realism
GrittyRealism,Realism
GroupOfSeven,Classical
GrungeAesthetic,Fantasy & Sci-Fi
HeidelbergSchool,Classical
HighRenaissance,Classical
HorrorArt,Fantasy & Sci-Fi
HudsonRiverSchool,Classical
HyperDetailed,Realism
HyperRealism,Realism
HyperRealisticComicArt,Realism
HyperRealisticDetail,Realism
HyperRealisticDigitalArt,Realism
HyperRealisticFiction,Realism
HyperRealisticFigurePainting,Realism
HyperRealisticPainting,Realism
HyperRealisticPaintings,Realism
HyperkineticRealism,Realism
Hyperrealism,Realism
Hyperrealistic,Realism
HyperrealisticPhotography,Realism
HyperrealisticPortraits,Realism
Illustration,Illustration
IllustrativeFables,Illustration
IllustrativeRealism,Realism
ImaginativeFantasy,Fantasy & Sci-Fi
ImpastoTechnique,Impressionism
Impressionism,Impressionism
ImpressionistBrushwork,Impressionism
ImpressionistGardenScapes,Impressionism
ImpressionistInk,Impressionism
ImpressionistLandscape,Impressionism
ImpressionistPalette,Impressionism
ImpressionistRealism,Impressionism
ImpressionistWatercolors,Impressionism
ImpressionistWave,Impressionism
Impressionistic,Impressionism
ImpressionisticVistas,Impressionism
IndieComicsRevolution,Illustration
InkDrawing,Illustration
InteriorRealism,Realism
JapaneseWoodblock,Classical
KanōSchool,Classical
KineticPaintings,Abstract
LandscapeArt,Classical
LargeScalePortraiture,Realism
LateGothic,Classical
LateMedieval,Classical
LightSculptor,Abstract
LineArt,Illustration
Lowbrow,Pop & Urban
Luminism,Impressionism
LuminismStyle,Impressionism
MagicalRealism,Fantasy & Sci-Fi
Manga,Illustration
Mannerism,Classical
MarineArt,Classical
MarketSceneRealism,Realism
Maximalism,Pop & Urban
MechanicalBaroque,Fantasy & Sci-Fi
MedievalArt,Classical
MedievalRealism,Classical
MeijiPeriod,Classical
MeltingMovement,Abstract
MerzArt,Abstract
MexicanMuralism,Classical
MidCenturyAmerican,Realism
Minimalism,Abstract
MixedMedia,Digital & Contemporary
Modern Japanese Painting,Classical
ModernArt,Expressionism
Modernism,Expressionism
NaiveArt,Illustration
Naturalism,Realism
NeoClassicism,Classical
NeoExpressionism,Expressionism
NeoImpressionism,Impressionism
NeoRomanticism,Classical
NordicRomanticism,Classical
OilPainting,Realism
OpArt,Abstract
OrientalismArt,Classical
OutsiderArt,Expressionism
Photorealism,Realism
PinupArt,Illustration
PixelArt,Pop & Urban
PointillismArt,Impressionism
PopArt,Pop & Urban
PopSurrealism,Surrealism
Portraiture,Realism
PostImpressionism,Impressionism
PostModernism,Expressionism
PreRaphaelite,Classical
Precisionism,Realism
Primitivism,Expressionism
Propaganda,Pop & Urban
Psychedelic,Surrealism
Realism,Realism
Regionalism,Realism
RenaissanceArt,Classical
Retrofuturism,Fantasy & Sci-Fi
RococoArt,Classical
Romanticism,Classical
SciFiArt,Fantasy & Sci-Fi
SocialRealism,Realism
Steampunk,Fantasy & Sci-Fi
StillLife,Illustration
StreetArt,Pop & Urban
StudioGhibli,Fantasy & Sci-Fi
Superflat,Surrealism
Surrealism,Surrealism
Symbolism,Surrealism
Tachisme,Abstract
TribalArt,Classical
Ukiyo-e,Classical
UrbanArt,Pop & Urban
VictorianArt,Classical
VisionaryArt,Surrealism
Watercolor,Illustration
WesternArt,Classical
WhimsicalArt,Illustration
